n_episode : 48, Total Frames : 2451, Average Score : 115.4, Episode Score : 50.0, Best Score : 420.0, n_buffer : 2451, eps : 97.6%
n_episode : 49, Total Frames : 2511, Average Score : 116.3, Episode Score : 160.0, Best Score : 420.0, n_buffer : 2511, eps : 97.6%
n_episode : 50, Total Frames : 2571, Average Score : 117.4, Episode Score : 170.0, Best Score : 420.0, n_buffer : 2571, eps : 97.5%
n_episode : 51, Total Frames : 2619, Average Score : 116.9, Episode Score : 90.0, Best Score : 420.0, n_buffer : 2619, eps : 97.5%
n_episode : 52, Total Frames : 2657, Average Score : 116.2, Episode Score : 80.0, Best Score : 420.0, n_buffer : 2657, eps : 97.4%
n_episode : 53, Total Frames : 2707, Average Score : 115.8, Episode Score : 100.0, Best Score : 420.0, n_buffer : 2707, eps : 97.4%
n_episode : 54, Total Frames : 2820, Average Score : 118.9, Episode Score : 280.0, Best Score : 420.0, n_buffer : 2820, eps : 97.4%
n_episode : 55, Total Frames : 2878, Average Score : 119.8, Episode Score : 170.0, Best Score : 420.0, n_buffer : 2878, eps : 97.2%
n_episode : 56, Total Frames : 3001, Average Score : 128.0, Episode Score : 580.0, Best Score : 580.0, n_buffer : 3001, eps : 97.2%
n_episode : 57, Total Frames : 3041, Average Score : 126.5, Episode Score : 40.0, Best Score : 580.0, n_buffer : 3041, eps : 97.1%
n_episode : 58, Total Frames : 3105, Average Score : 126.7, Episode Score : 140.0, Best Score : 580.0, n_buffer : 3105, eps : 97.0%
n_episode : 59, Total Frames : 3137, Average Score : 126.4, Episode Score : 110.0, Best Score : 580.0, n_buffer : 3137, eps : 97.0%
n_episode : 60, Total Frames : 3183, Average Score : 126.3, Episode Score : 120.0, Best Score : 580.0, n_buffer : 3183, eps : 96.9%
n_episode : 61, Total Frames : 3215, Average Score : 125.6, Episode Score : 80.0, Best Score : 580.0, n_buffer : 3215, eps : 96.9%
n_episode : 62, Total Frames : 3268, Average Score : 126.3, Episode Score : 170.0, Best Score : 580.0, n_buffer : 3268, eps : 96.9%
n_episode : 63, Total Frames : 3316, Average Score : 126.2, Episode Score : 120.0, Best Score : 580.0, n_buffer : 3316, eps : 96.8%
n_episode : 64, Total Frames : 3363, Average Score : 126.1, Episode Score : 120.0, Best Score : 580.0, n_buffer : 3363, eps : 96.8%
n_episode : 65, Total Frames : 3422, Average Score : 125.2, Episode Score : 70.0, Best Score : 580.0, n_buffer : 3422, eps : 96.7%
n_episode : 66, Total Frames : 3459, Average Score : 124.7, Episode Score : 90.0, Best Score : 580.0, n_buffer : 3459, eps : 96.7%
n_episode : 67, Total Frames : 3515, Average Score : 126.3, Episode Score : 230.0, Best Score : 580.0, n_buffer : 3515, eps : 96.6%
n_episode : 68, Total Frames : 3556, Average Score : 125.4, Episode Score : 70.0, Best Score : 580.0, n_buffer : 3556, eps : 96.6%
n_episode : 69, Total Frames : 3596, Average Score : 124.1, Episode Score : 30.0, Best Score : 580.0, n_buffer : 3596, eps : 96.5%
n_episode : 70, Total Frames : 3659, Average Score : 124.6, Episode Score : 160.0, Best Score : 580.0, n_buffer : 3659, eps : 96.5%
n_episode : 71, Total Frames : 3701, Average Score : 123.2, Episode Score : 30.0, Best Score : 580.0, n_buffer : 3701, eps : 96.4%
n_episode : 72, Total Frames : 3737, Average Score : 122.6, Episode Score : 80.0, Best Score : 580.0, n_buffer : 3737, eps : 96.4%
n_episode : 73, Total Frames : 3796, Average Score : 123.4, Episode Score : 180.0, Best Score : 580.0, n_buffer : 3796, eps : 96.4%
n_episode : 74, Total Frames : 3833, Average Score : 122.7, Episode Score : 70.0, Best Score : 580.0, n_buffer : 3833, eps : 96.3%
n_episode : 75, Total Frames : 3878, Average Score : 122.1, Episode Score : 80.0, Best Score : 580.0, n_buffer : 3878, eps : 96.3%
n_episode : 76, Total Frames : 3911, Average Score : 121.6, Episode Score : 80.0, Best Score : 580.0, n_buffer : 3911, eps : 96.2%
n_episode : 77, Total Frames : 3957, Average Score : 120.9, Episode Score : 70.0, Best Score : 580.0, n_buffer : 3957, eps : 96.2%
n_episode : 78, Total Frames : 3977, Average Score : 119.5, Episode Score : 10.0, Best Score : 580.0, n_buffer : 3977, eps : 96.2%
n_episode : 79, Total Frames : 4033, Average Score : 119.6, Episode Score : 130.0, Best Score : 580.0, n_buffer : 4033, eps : 96.1%
n_episode : 80, Total Frames : 4085, Average Score : 119.6, Episode Score : 120.0, Best Score : 580.0, n_buffer : 4085, eps : 96.1%
n_episode : 81, Total Frames : 4127, Average Score : 118.3, Episode Score : 10.0, Best Score : 580.0, n_buffer : 4127, eps : 96.0%
n_episode : 82, Total Frames : 4187, Average Score : 119.4, Episode Score : 210.0, Best Score : 580.0, n_buffer : 4187, eps : 96.0%
n_episode : 83, Total Frames : 4230, Average Score : 119.4, Episode Score : 120.0, Best Score : 580.0, n_buffer : 4230, eps : 95.9%
n_episode : 84, Total Frames : 4271, Average Score : 118.7, Episode Score : 60.0, Best Score : 580.0, n_buffer : 4271, eps : 95.9%
n_episode : 85, Total Frames : 4334, Average Score : 119.3, Episode Score : 170.0, Best Score : 580.0, n_buffer : 4334, eps : 95.9%
n_episode : 86, Total Frames : 4436, Average Score : 123.4, Episode Score : 470.0, Best Score : 580.0, n_buffer : 4436, eps : 95.8%
n_episode : 87, Total Frames : 4501, Average Score : 122.2, Episode Score : 20.0, Best Score : 580.0, n_buffer : 4501, eps : 95.7%
n_episode : 88, Total Frames : 4566, Average Score : 122.8, Episode Score : 180.0, Best Score : 580.0, n_buffer : 4566, eps : 95.6%
n_episode : 89, Total Frames : 4601, Average Score : 122.7, Episode Score : 110.0, Best Score : 580.0, n_buffer : 4601, eps : 95.6%
n_episode : 90, Total Frames : 4645, Average Score : 122.7, Episode Score : 120.0, Best Score : 580.0, n_buffer : 4645, eps : 95.5%
n_episode : 91, Total Frames : 4679, Average Score : 122.1, Episode Score : 70.0, Best Score : 580.0, n_buffer : 4679, eps : 95.5%
n_episode : 92, Total Frames : 4728, Average Score : 122.1, Episode Score : 120.0, Best Score : 580.0, n_buffer : 4728, eps : 95.5%
n_episode : 93, Total Frames : 4773, Average Score : 121.4, Episode Score : 60.0, Best Score : 580.0, n_buffer : 4773, eps : 95.4%
n_episode : 94, Total Frames : 4832, Average Score : 121.7, Episode Score : 150.0, Best Score : 580.0, n_buffer : 4832, eps : 95.4%
n_episode : 95, Total Frames : 4901, Average Score : 122.8, Episode Score : 230.0, Best Score : 580.0, n_buffer : 4901, eps : 95.3%
n_episode : 96, Total Frames : 4952, Average Score : 123.1, Episode Score : 150.0, Best Score : 580.0, n_buffer : 4952, eps : 95.3%
n_episode : 97, Total Frames : 4992, Average Score : 122.5, Episode Score : 60.0, Best Score : 580.0, n_buffer : 4992, eps : 95.2%
n_episode : 98, Total Frames : 5042, Average Score : 122.7, Episode Score : 140.0, Best Score : 580.0, n_buffer : 5042, eps : 95.2%
n_episode : 99, Total Frames : 5076, Average Score : 121.6, Episode Score : 20.0, Best Score : 580.0, n_buffer : 5076, eps : 95.1%
n_episode : 100, Total Frames : 5147, Average Score : 122.2, Episode Score : 180.0, Best Score : 580.0, n_buffer : 5147, eps : 95.1%
n_episode : 101, Total Frames : 5263, Average Score : 123.8, Episode Score : 280.0, Best Score : 580.0, n_buffer : 5263, eps : 95.0%
n_episode : 102, Total Frames : 5302, Average Score : 122.6, Episode Score : 10.0, Best Score : 580.0, n_buffer : 5302, eps : 94.9%
n_episode : 103, Total Frames : 5365, Average Score : 122.7, Episode Score : 130.0, Best Score : 580.0, n_buffer : 5365, eps : 94.9%
n_episode : 104, Total Frames : 5398, Average Score : 122.2, Episode Score : 70.0, Best Score : 580.0, n_buffer : 5398, eps : 94.8%
n_episode : 105, Total Frames : 5428, Average Score : 121.6, Episode Score : 60.0, Best Score : 580.0, n_buffer : 5428, eps : 94.8%
n_episode : 106, Total Frames : 5500, Average Score : 122.8, Episode Score : 250.0, Best Score : 580.0, n_buffer : 5500, eps : 94.8%
n_episode : 107, Total Frames : 5545, Average Score : 123.6, Episode Score : 200.0, Best Score : 580.0, n_buffer : 5545, eps : 94.7%
n_episode : 108, Total Frames : 5629, Average Score : 123.7, Episode Score : 140.0, Best Score : 580.0, n_buffer : 5629, eps : 94.7%
n_episode : 109, Total Frames : 5694, Average Score : 124.3, Episode Score : 190.0, Best Score : 580.0, n_buffer : 5694, eps : 94.6%
n_episode : 110, Total Frames : 5712, Average Score : 123.8, Episode Score : 70.0, Best Score : 580.0, n_buffer : 5712, eps : 94.5%
n_episode : 111, Total Frames : 5758, Average Score : 123.9, Episode Score : 130.0, Best Score : 580.0, n_buffer : 5758, eps : 94.5%
n_episode : 112, Total Frames : 5810, Average Score : 123.6, Episode Score : 90.0, Best Score : 580.0, n_buffer : 5810, eps : 94.5%
n_episode : 113, Total Frames : 5837, Average Score : 122.5, Episode Score : 0.0, Best Score : 580.0, n_buffer : 5837, eps : 94.4%
n_episode : 114, Total Frames : 5886, Average Score : 122.7, Episode Score : 150.0, Best Score : 580.0, n_buffer : 5886, eps : 94.4%
n_episode : 115, Total Frames : 5934, Average Score : 122.6, Episode Score : 110.0, Best Score : 580.0, n_buffer : 5934, eps : 94.3%
n_episode : 116, Total Frames : 5981, Average Score : 122.8, Episode Score : 150.0, Best Score : 580.0, n_buffer : 5981, eps : 94.3%
n_episode : 117, Total Frames : 6038, Average Score : 123.2, Episode Score : 170.0, Best Score : 580.0, n_buffer : 6038, eps : 94.3%
n_episode : 118, Total Frames : 6093, Average Score : 123.1, Episode Score : 110.0, Best Score : 580.0, n_buffer : 6093, eps : 94.2%
n_episode : 119, Total Frames : 6134, Average Score : 122.9, Episode Score : 100.0, Best Score : 580.0, n_buffer : 6134, eps : 94.1%
n_episode : 120, Total Frames : 6172, Average Score : 122.4, Episode Score : 60.0, Best Score : 580.0, n_buffer : 6172, eps : 94.1%
n_episode : 121, Total Frames : 6227, Average Score : 122.8, Episode Score : 170.0, Best Score : 580.0, n_buffer : 6227, eps : 94.1%
n_episode : 122, Total Frames : 6279, Average Score : 123.1, Episode Score : 160.0, Best Score : 580.0, n_buffer : 6279, eps : 94.0%
n_episode : 123, Total Frames : 6324, Average Score : 122.9, Episode Score : 100.0, Best Score : 580.0, n_buffer : 6324, eps : 94.0%
n_episode : 124, Total Frames : 6389, Average Score : 123.1, Episode Score : 150.0, Best Score : 580.0, n_buffer : 6389, eps : 93.9%
n_episode : 125, Total Frames : 6433, Average Score : 122.6, Episode Score : 60.0, Best Score : 580.0, n_buffer : 6433, eps : 93.9%
n_episode : 126, Total Frames : 6530, Average Score : 128.5, Episode Score : 860.0, Best Score : 860.0, n_buffer : 6530, eps : 93.8%
n_episode : 127, Total Frames : 6593, Average Score : 128.9, Episode Score : 180.0, Best Score : 860.0, n_buffer : 6593, eps : 93.7%
n_episode : 128, Total Frames : 6630, Average Score : 128.8, Episode Score : 110.0, Best Score : 860.0, n_buffer : 6630, eps : 93.7%
n_episode : 129, Total Frames : 6746, Average Score : 129.4, Episode Score : 210.0, Best Score : 860.0, n_buffer : 6746, eps : 93.6%
n_episode : 130, Total Frames : 6849, Average Score : 132.2, Episode Score : 490.0, Best Score : 860.0, n_buffer : 6849, eps : 93.5%
n_episode : 131, Total Frames : 6899, Average Score : 132.3, Episode Score : 150.0, Best Score : 860.0, n_buffer : 6899, eps : 93.4%
