n_episode : 48, Total Frames : 2410, Average Score : 119.6, Episode Score : 100.0, Best Score : 490.0, n_buffer : 2410, eps : 97.7%
n_episode : 49, Total Frames : 2478, Average Score : 121.6, Episode Score : 220.0, Best Score : 490.0, n_buffer : 2478, eps : 97.6%
n_episode : 50, Total Frames : 2527, Average Score : 122.0, Episode Score : 140.0, Best Score : 490.0, n_buffer : 2527, eps : 97.6%
n_episode : 51, Total Frames : 2572, Average Score : 120.0, Episode Score : 20.0, Best Score : 490.0, n_buffer : 2572, eps : 97.5%
n_episode : 52, Total Frames : 2629, Average Score : 120.2, Episode Score : 130.0, Best Score : 490.0, n_buffer : 2629, eps : 97.5%
n_episode : 53, Total Frames : 2652, Average Score : 118.5, Episode Score : 30.0, Best Score : 490.0, n_buffer : 2652, eps : 97.4%
n_episode : 54, Total Frames : 2735, Average Score : 120.0, Episode Score : 200.0, Best Score : 490.0, n_buffer : 2735, eps : 97.4%
n_episode : 55, Total Frames : 2800, Average Score : 120.9, Episode Score : 170.0, Best Score : 490.0, n_buffer : 2800, eps : 97.3%
n_episode : 56, Total Frames : 2827, Average Score : 119.5, Episode Score : 40.0, Best Score : 490.0, n_buffer : 2827, eps : 97.3%
n_episode : 57, Total Frames : 2924, Average Score : 133.0, Episode Score : 890.0, Best Score : 890.0, n_buffer : 2924, eps : 97.2%
n_episode : 58, Total Frames : 2970, Average Score : 133.1, Episode Score : 140.0, Best Score : 890.0, n_buffer : 2970, eps : 97.1%
n_episode : 59, Total Frames : 3033, Average Score : 134.2, Episode Score : 200.0, Best Score : 890.0, n_buffer : 3033, eps : 97.1%
n_episode : 60, Total Frames : 3099, Average Score : 132.7, Episode Score : 40.0, Best Score : 890.0, n_buffer : 3099, eps : 97.0%
n_episode : 61, Total Frames : 3150, Average Score : 132.0, Episode Score : 90.0, Best Score : 890.0, n_buffer : 3150, eps : 97.0%
n_episode : 62, Total Frames : 3196, Average Score : 131.3, Episode Score : 90.0, Best Score : 890.0, n_buffer : 3196, eps : 96.9%
n_episode : 63, Total Frames : 3251, Average Score : 131.0, Episode Score : 110.0, Best Score : 890.0, n_buffer : 3251, eps : 96.9%
n_episode : 64, Total Frames : 3318, Average Score : 130.9, Episode Score : 130.0, Best Score : 890.0, n_buffer : 3318, eps : 96.8%
n_episode : 65, Total Frames : 3352, Average Score : 129.7, Episode Score : 50.0, Best Score : 890.0, n_buffer : 3352, eps : 96.8%
n_episode : 66, Total Frames : 3447, Average Score : 133.9, Episode Score : 410.0, Best Score : 890.0, n_buffer : 3447, eps : 96.7%
n_episode : 67, Total Frames : 3500, Average Score : 134.0, Episode Score : 140.0, Best Score : 890.0, n_buffer : 3500, eps : 96.6%
n_episode : 68, Total Frames : 3559, Average Score : 134.0, Episode Score : 130.0, Best Score : 890.0, n_buffer : 3559, eps : 96.6%
n_episode : 69, Total Frames : 3576, Average Score : 132.0, Episode Score : 0.0, Best Score : 890.0, n_buffer : 3576, eps : 96.5%
n_episode : 70, Total Frames : 3632, Average Score : 132.6, Episode Score : 170.0, Best Score : 890.0, n_buffer : 3632, eps : 96.5%
n_episode : 71, Total Frames : 3735, Average Score : 143.9, Episode Score : 940.0, Best Score : 940.0, n_buffer : 3735, eps : 96.5%
n_episode : 72, Total Frames : 3788, Average Score : 143.5, Episode Score : 110.0, Best Score : 940.0, n_buffer : 3788, eps : 96.4%
n_episode : 73, Total Frames : 3838, Average Score : 142.7, Episode Score : 90.0, Best Score : 940.0, n_buffer : 3838, eps : 96.3%
n_episode : 74, Total Frames : 3901, Average Score : 143.2, Episode Score : 180.0, Best Score : 940.0, n_buffer : 3901, eps : 96.3%
n_episode : 75, Total Frames : 3944, Average Score : 142.0, Episode Score : 50.0, Best Score : 940.0, n_buffer : 3944, eps : 96.2%
n_episode : 76, Total Frames : 4043, Average Score : 144.7, Episode Score : 350.0, Best Score : 940.0, n_buffer : 4043, eps : 96.2%
n_episode : 77, Total Frames : 4088, Average Score : 143.4, Episode Score : 40.0, Best Score : 940.0, n_buffer : 4088, eps : 96.1%
n_episode : 78, Total Frames : 4142, Average Score : 142.4, Episode Score : 70.0, Best Score : 940.0, n_buffer : 4142, eps : 96.0%
n_episode : 79, Total Frames : 4197, Average Score : 142.2, Episode Score : 120.0, Best Score : 940.0, n_buffer : 4197, eps : 96.0%
n_episode : 80, Total Frames : 4247, Average Score : 141.9, Episode Score : 120.0, Best Score : 940.0, n_buffer : 4247, eps : 95.9%
n_episode : 81, Total Frames : 4351, Average Score : 142.6, Episode Score : 200.0, Best Score : 940.0, n_buffer : 4351, eps : 95.9%
n_episode : 82, Total Frames : 4398, Average Score : 142.3, Episode Score : 120.0, Best Score : 940.0, n_buffer : 4398, eps : 95.8%
n_episode : 83, Total Frames : 4418, Average Score : 140.6, Episode Score : 0.0, Best Score : 940.0, n_buffer : 4418, eps : 95.7%
n_episode : 84, Total Frames : 4508, Average Score : 142.1, Episode Score : 270.0, Best Score : 940.0, n_buffer : 4508, eps : 95.7%
n_episode : 85, Total Frames : 4563, Average Score : 142.4, Episode Score : 160.0, Best Score : 940.0, n_buffer : 4563, eps : 95.6%
n_episode : 86, Total Frames : 4606, Average Score : 140.8, Episode Score : 10.0, Best Score : 940.0, n_buffer : 4606, eps : 95.6%
n_episode : 87, Total Frames : 4642, Average Score : 140.8, Episode Score : 140.0, Best Score : 940.0, n_buffer : 4642, eps : 95.5%
n_episode : 88, Total Frames : 4697, Average Score : 140.6, Episode Score : 120.0, Best Score : 940.0, n_buffer : 4697, eps : 95.5%
n_episode : 89, Total Frames : 4731, Average Score : 140.2, Episode Score : 110.0, Best Score : 940.0, n_buffer : 4731, eps : 95.5%
n_episode : 90, Total Frames : 4778, Average Score : 139.3, Episode Score : 60.0, Best Score : 940.0, n_buffer : 4778, eps : 95.4%
n_episode : 91, Total Frames : 4829, Average Score : 139.2, Episode Score : 130.0, Best Score : 940.0, n_buffer : 4829, eps : 95.4%
n_episode : 92, Total Frames : 4865, Average Score : 138.7, Episode Score : 90.0, Best Score : 940.0, n_buffer : 4865, eps : 95.3%
n_episode : 93, Total Frames : 4920, Average Score : 138.9, Episode Score : 160.0, Best Score : 940.0, n_buffer : 4920, eps : 95.3%
n_episode : 94, Total Frames : 4956, Average Score : 138.1, Episode Score : 60.0, Best Score : 940.0, n_buffer : 4956, eps : 95.2%
n_episode : 95, Total Frames : 4989, Average Score : 137.8, Episode Score : 110.0, Best Score : 940.0, n_buffer : 4989, eps : 95.2%
n_episode : 96, Total Frames : 5039, Average Score : 137.9, Episode Score : 150.0, Best Score : 940.0, n_buffer : 5039, eps : 95.2%
n_episode : 97, Total Frames : 5100, Average Score : 137.8, Episode Score : 130.0, Best Score : 940.0, n_buffer : 5100, eps : 95.1%
