n_episode : 48, Total Frames : 2093, Average Score : 35.6, Episode Score : 25.0, Best Score : 340.0, n_buffer : 2093, eps : 98.0%
n_episode : 49, Total Frames : 2148, Average Score : 35.9, Episode Score : 50.0, Best Score : 340.0, n_buffer : 2148, eps : 97.9%
n_episode : 50, Total Frames : 2188, Average Score : 35.5, Episode Score : 15.0, Best Score : 340.0, n_buffer : 2188, eps : 97.9%
n_episode : 51, Total Frames : 2220, Average Score : 35.1, Episode Score : 15.0, Best Score : 340.0, n_buffer : 2220, eps : 97.9%
n_episode : 52, Total Frames : 2268, Average Score : 35.1, Episode Score : 35.0, Best Score : 340.0, n_buffer : 2268, eps : 97.8%
n_episode : 53, Total Frames : 2322, Average Score : 35.4, Episode Score : 50.0, Best Score : 340.0, n_buffer : 2322, eps : 97.8%
n_episode : 54, Total Frames : 2367, Average Score : 35.2, Episode Score : 25.0, Best Score : 340.0, n_buffer : 2367, eps : 97.7%
n_episode : 55, Total Frames : 2419, Average Score : 35.2, Episode Score : 35.0, Best Score : 340.0, n_buffer : 2419, eps : 97.7%
n_episode : 56, Total Frames : 2439, Average Score : 35.0, Episode Score : 25.0, Best Score : 340.0, n_buffer : 2439, eps : 97.6%
n_episode : 57, Total Frames : 2589, Average Score : 35.3, Episode Score : 50.0, Best Score : 340.0, n_buffer : 2589, eps : 97.6%
n_episode : 58, Total Frames : 2638, Average Score : 35.2, Episode Score : 30.0, Best Score : 340.0, n_buffer : 2638, eps : 97.5%
n_episode : 59, Total Frames : 2655, Average Score : 34.6, Episode Score : 0.0, Best Score : 340.0, n_buffer : 2655, eps : 97.4%
n_episode : 60, Total Frames : 2690, Average Score : 34.0, Episode Score : 0.0, Best Score : 340.0, n_buffer : 2690, eps : 97.4%
n_episode : 61, Total Frames : 2734, Average Score : 33.9, Episode Score : 25.0, Best Score : 340.0, n_buffer : 2734, eps : 97.4%
n_episode : 62, Total Frames : 2782, Average Score : 34.0, Episode Score : 45.0, Best Score : 340.0, n_buffer : 2782, eps : 97.3%
n_episode : 63, Total Frames : 2815, Average Score : 34.0, Episode Score : 35.0, Best Score : 340.0, n_buffer : 2815, eps : 97.3%
n_episode : 64, Total Frames : 2840, Average Score : 33.5, Episode Score : 0.0, Best Score : 340.0, n_buffer : 2840, eps : 97.3%
n_episode : 65, Total Frames : 2877, Average Score : 33.0, Episode Score : 0.0, Best Score : 340.0, n_buffer : 2877, eps : 97.2%
n_episode : 66, Total Frames : 2954, Average Score : 33.5, Episode Score : 65.0, Best Score : 340.0, n_buffer : 2954, eps : 97.2%
n_episode : 67, Total Frames : 3020, Average Score : 33.9, Episode Score : 60.0, Best Score : 340.0, n_buffer : 3020, eps : 97.1%
n_episode : 68, Total Frames : 3111, Average Score : 37.1, Episode Score : 250.0, Best Score : 340.0, n_buffer : 3111, eps : 97.1%
n_episode : 69, Total Frames : 3159, Average Score : 38.0, Episode Score : 105.0, Best Score : 340.0, n_buffer : 3159, eps : 97.0%
n_episode : 70, Total Frames : 3194, Average Score : 37.7, Episode Score : 15.0, Best Score : 340.0, n_buffer : 3194, eps : 96.9%
n_episode : 71, Total Frames : 3209, Average Score : 37.5, Episode Score : 20.0, Best Score : 340.0, n_buffer : 3209, eps : 96.9%
n_episode : 72, Total Frames : 3370, Average Score : 41.5, Episode Score : 330.0, Best Score : 340.0, n_buffer : 3370, eps : 96.9%
n_episode : 73, Total Frames : 3405, Average Score : 41.0, Episode Score : 0.0, Best Score : 340.0, n_buffer : 3405, eps : 96.7%
n_episode : 74, Total Frames : 3430, Average Score : 41.1, Episode Score : 50.0, Best Score : 340.0, n_buffer : 3430, eps : 96.7%
n_episode : 75, Total Frames : 3449, Average Score : 40.9, Episode Score : 25.0, Best Score : 340.0, n_buffer : 3449, eps : 96.7%
n_episode : 76, Total Frames : 3488, Average Score : 40.3, Episode Score : 0.0, Best Score : 340.0, n_buffer : 3488, eps : 96.6%
