n_episode : 48, Total Frames : 44218, Average Score : -20.6, Episode Score : -21.0, Best Score : -18.0, n_buffer : 44218, eps : 65.2%
n_episode : 49, Total Frames : 45060, Average Score : -20.6, Episode Score : -21.0, Best Score : -18.0, n_buffer : 45060, eps : 64.6%
n_episode : 50, Total Frames : 45972, Average Score : -20.6, Episode Score : -20.0, Best Score : -18.0, n_buffer : 45972, eps : 64.1%
n_episode : 51, Total Frames : 46908, Average Score : -20.6, Episode Score : -21.0, Best Score : -18.0, n_buffer : 46908, eps : 63.5%
n_episode : 52, Total Frames : 47993, Average Score : -20.6, Episode Score : -19.0, Best Score : -18.0, n_buffer : 47993, eps : 62.9%
n_episode : 53, Total Frames : 49089, Average Score : -20.5, Episode Score : -19.0, Best Score : -18.0, n_buffer : 49089, eps : 62.3%
n_episode : 54, Total Frames : 49910, Average Score : -20.6, Episode Score : -21.0, Best Score : -18.0, n_buffer : 49910, eps : 61.6%
n_episode : 55, Total Frames : 50866, Average Score : -20.5, Episode Score : -20.0, Best Score : -18.0, n_buffer : 50866, eps : 61.1%
n_episode : 56, Total Frames : 51950, Average Score : -20.5, Episode Score : -19.0, Best Score : -18.0, n_buffer : 51950, eps : 60.5%
n_episode : 57, Total Frames : 53010, Average Score : -20.5, Episode Score : -21.0, Best Score : -18.0, n_buffer : 53010, eps : 59.9%
n_episode : 58, Total Frames : 54041, Average Score : -20.5, Episode Score : -20.0, Best Score : -18.0, n_buffer : 54041, eps : 59.3%
n_episode : 59, Total Frames : 55432, Average Score : -20.5, Episode Score : -20.0, Best Score : -18.0, n_buffer : 55432, eps : 58.7%
n_episode : 60, Total Frames : 56593, Average Score : -20.5, Episode Score : -19.0, Best Score : -18.0, n_buffer : 56593, eps : 57.9%
n_episode : 61, Total Frames : 57498, Average Score : -20.5, Episode Score : -21.0, Best Score : -18.0, n_buffer : 57498, eps : 57.2%
n_episode : 62, Total Frames : 58336, Average Score : -20.5, Episode Score : -21.0, Best Score : -18.0, n_buffer : 58336, eps : 56.7%
n_episode : 63, Total Frames : 59258, Average Score : -20.5, Episode Score : -20.0, Best Score : -18.0, n_buffer : 59258, eps : 56.2%
n_episode : 64, Total Frames : 60074, Average Score : -20.5, Episode Score : -21.0, Best Score : -18.0, n_buffer : 60074, eps : 55.7%
n_episode : 65, Total Frames : 60956, Average Score : -20.5, Episode Score : -21.0, Best Score : -18.0, n_buffer : 60956, eps : 55.3%
n_episode : 66, Total Frames : 61774, Average Score : -20.5, Episode Score : -21.0, Best Score : -18.0, n_buffer : 61774, eps : 54.8%
n_episode : 67, Total Frames : 62810, Average Score : -20.5, Episode Score : -19.0, Best Score : -18.0, n_buffer : 62810, eps : 54.4%
n_episode : 68, Total Frames : 63633, Average Score : -20.5, Episode Score : -21.0, Best Score : -18.0, n_buffer : 63633, eps : 53.8%
n_episode : 69, Total Frames : 64686, Average Score : -20.5, Episode Score : -19.0, Best Score : -18.0, n_buffer : 64686, eps : 53.4%
n_episode : 70, Total Frames : 65678, Average Score : -20.5, Episode Score : -20.0, Best Score : -18.0, n_buffer : 65678, eps : 52.8%
n_episode : 71, Total Frames : 66576, Average Score : -20.5, Episode Score : -20.0, Best Score : -18.0, n_buffer : 66576, eps : 52.3%
n_episode : 72, Total Frames : 67458, Average Score : -20.5, Episode Score : -21.0, Best Score : -18.0, n_buffer : 67458, eps : 51.9%
n_episode : 73, Total Frames : 68613, Average Score : -20.5, Episode Score : -20.0, Best Score : -18.0, n_buffer : 68613, eps : 51.4%
n_episode : 74, Total Frames : 69753, Average Score : -20.5, Episode Score : -20.0, Best Score : -18.0, n_buffer : 69753, eps : 50.8%
n_episode : 75, Total Frames : 70667, Average Score : -20.5, Episode Score : -20.0, Best Score : -18.0, n_buffer : 70667, eps : 50.3%
n_episode : 76, Total Frames : 71830, Average Score : -20.4, Episode Score : -18.0, Best Score : -18.0, n_buffer : 71830, eps : 49.8%
n_episode : 77, Total Frames : 73002, Average Score : -20.4, Episode Score : -19.0, Best Score : -18.0, n_buffer : 73002, eps : 49.3%
n_episode : 78, Total Frames : 73881, Average Score : -20.4, Episode Score : -21.0, Best Score : -18.0, n_buffer : 73881, eps : 48.7%
n_episode : 79, Total Frames : 74975, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 74975, eps : 48.3%
n_episode : 80, Total Frames : 75991, Average Score : -20.4, Episode Score : -21.0, Best Score : -18.0, n_buffer : 75991, eps : 47.8%
n_episode : 81, Total Frames : 77190, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 77190, eps : 47.3%
n_episode : 82, Total Frames : 78474, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 78474, eps : 46.8%
n_episode : 83, Total Frames : 79428, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 79428, eps : 46.2%
n_episode : 84, Total Frames : 80586, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 80586, eps : 45.7%
n_episode : 85, Total Frames : 81646, Average Score : -20.4, Episode Score : -21.0, Best Score : -18.0, n_buffer : 81646, eps : 45.2%
n_episode : 86, Total Frames : 82684, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 82684, eps : 44.8%
